pexels_id,search_term,source_url,rendition_link,quality,width,height,duration_sec,local_path
28840193,pov hands tool,https://www.pexels.com/video/capturing-moment-with-professional-camera-setup-28840193/,https://videos.pexels.com/video-files/28840193/12492314_360_640_50fps.mp4,,360,640,8,data/raw/28840193.mp4
15291653,pov hands tool,https://www.pexels.com/video/person-driving-on-the-narrow-road-under-the-cloudy-sky-15291653/,https://videos.pexels.com/video-files/15291653/15291653-sd_240_426_24fps.mp4,sd,240,426,21,data/raw/15291653.mp4
5176974,pov hands tool,https://www.pexels.com/video/person-using-a-lawn-mower-5176974/,https://videos.pexels.com/video-files/5176974/5176974-sd_426_240_30fps.mp4,sd,426,240,20,data/raw/5176974.mp4
7325847,pov hands tool,https://www.pexels.com/video/person-using-handheld-castanets-7325847/,https://videos.pexels.com/video-files/7325847/7325847-sd_426_226_25fps.mp4,sd,426,226,16,data/raw/7325847.mp4
4912632,first person cooking,https://www.pexels.com/video/person-pouring-an-olive-oil-in-the-frying-pan-4912632/,https://videos.pexels.com/video-files/4912632/4912632-sd_426_240_24fps.mp4,sd,426,240,20,data/raw/4912632.mp4
4912636,first person cooking,https://www.pexels.com/video/person-pouring-an-olive-oil-in-the-frying-pan-4912636/,https://videos.pexels.com/video-files/4912636/4912636-sd_426_240_24fps.mp4,sd,426,240,17,data/raw/4912636.mp4
8477806,first person cooking,https://www.pexels.com/video/man-putting-the-flour-in-a-strainer-8477806/,https://videos.pexels.com/video-files/8477806/8477806-sd_426_240_24fps.mp4,sd,426,240,26,data/raw/8477806.mp4
7084637,first person cooking,https://www.pexels.com/video/person-eating-slices-of-cucumber-7084637/,https://videos.pexels.com/video-files/7084637/7084637-sd_426_240_25fps.mp4,sd,426,240,10,data/raw/7084637.mp4
19535589,pov mechanic,https://www.pexels.com/video/pov-dive-under-off-road-beast-19535589/,https://videos.pexels.com/video-files/19535589/19535589-sd_426_240_30fps.mp4,sd,426,240,11,data/raw/19535589.mp4
8470302,pov mechanic,https://www.pexels.com/video/man-working-with-car-engine-8470302/,https://videos.pexels.com/video-files/8470302/8470302-sd_426_240_25fps.mp4,sd,426,240,12,data/raw/8470302.mp4
7006120,pov mechanic,https://www.pexels.com/video/a-mechanic-woman-and-a-man-assisting-her-7006120/,https://videos.pexels.com/video-files/7006120/7006120-sd_426_226_25fps.mp4,sd,426,226,30,data/raw/7006120.mp4
8469674,pov mechanic,https://www.pexels.com/video/person-repairing-a-car-engine-8469674/,https://videos.pexels.com/video-files/8469674/8469674-sd_426_240_25fps.mp4,sd,426,240,20,data/raw/8469674.mp4
5972111,pov woodworking,https://www.pexels.com/video/a-man-using-a-wood-planer-machine-5972111/,https://videos.pexels.com/video-files/5972111/5972111-sd_426_240_25fps.mp4,sd,426,240,11,data/raw/5972111.mp4
6789566,pov woodworking,https://www.pexels.com/video/a-person-removing-wood-dust-6789566/,https://videos.pexels.com/video-files/6789566/6789566-sd_426_240_25fps.mp4,sd,426,240,29,data/raw/6789566.mp4
5972626,pov woodworking,https://www.pexels.com/video/a-man-shaving-a-wood-using-a-hand-plane-5972626/,https://videos.pexels.com/video-files/5972626/5972626-sd_426_240_25fps.mp4,sd,426,240,3,data/raw/5972626.mp4
5972642,pov woodworking,https://www.pexels.com/video/a-man-working-on-wood-5972642/,https://videos.pexels.com/video-files/5972642/5972642-sd_426_240_25fps.mp4,sd,426,240,7,data/raw/5972642.mp4
30075961,pov assembly,https://www.pexels.com/video/efficient-motorcycle-engine-assembly-process-30075961/,https://videos.pexels.com/video-files/30075961/12899887_640_360_25fps.mp4,,640,360,22,data/raw/30075961.mp4
30288954,pov assembly,https://www.pexels.com/video/efficient-motorcycle-engine-assembly-process-30288954/,https://videos.pexels.com/video-files/30288954/12984012_640_360_25fps.mp4,,640,360,18,data/raw/30288954.mp4
