clip_id,partner_id,arrival_index,novelty_score,rolling_trend,is_synthetic_duplicate
A01,partner_a,1,,,False
A02,partner_a,2,0.3783966302871704,0.3783966302871704,False
A03,partner_a,3,0.45415806770324707,0.41627734899520874,False
A04,partner_a,4,0.40702056884765625,0.4131917556126912,False
A05,partner_a,5,0.30097246170043945,0.3851369321346283,False
A06,partner_a,6,0.2757002115249634,0.3632495880126953,False
A07,partner_a,7,0.1791914701461792,0.3325732350349426,False
A08,partner_a,8,0.2066354751586914,0.31458212648119244,False
A09,partner_a,9,0.17235052585601807,0.29680317640304565,False
A10,partner_a,10,0.09839123487472534,0.27475740512212116,False
A11,partner_a,11,0.18729323148727417,0.26601098775863646,False
A12,partner_a,12,0.14703583717346191,0.24287490844726561,False
A13,partner_a,13,0.303017795085907,0.22776088118553162,False
A14,partner_a,14,0.07134008407592773,0.19419283270835877,False
A15,partner_a,15,0.1986716389656067,0.18396275043487548,False
A16,partner_a,16,0.3138606548309326,0.1877787947654724,False
A17,partner_a,17,0.0755758285522461,0.1774172306060791,False
A18,partner_a,18,0.24857693910598755,0.1816113770008087,False
B01,partner_b,1,,,False
B02,partner_b,2,0.3589205741882324,0.3589205741882324,False
B03,partner_b,3,0.2591173052787781,0.30901893973350525,False
B04,partner_b,4,0.2473365068435669,0.28845812877019245,False
B05,partner_b,5,0.12097525596618652,0.24658741056919098,False
B06,partner_b,6,0.2171090841293335,0.24069174528121948,False
B07,partner_b,7,0.09668606519699097,0.21669079860051474,False
B08,partner_b,8,0.23438656330108643,0.21921876498631068,False
B09,partner_b,9,0.16010761260986328,0.21182987093925476,False
B10,partner_b,10,0.020066261291503906,0.19052280320061576,True
B11,partner_b,11,0.018023967742919922,0.1732729196548462,True
B12,partner_b,12,0.015816330909729004,0.13896249532699584,True
B13,partner_b,13,0.004968404769897461,0.11354760527610779,True
B14,partner_b,14,0.009172677993774414,0.08973122239112855,True
B15,partner_b,15,0.002525806427001953,0.07788627743721008,True
B16,partner_b,16,0.004904985427856445,0.05666586756706238,True
